rank, imageUrl, gameLink, gameTitle, platform,Publisher, developer, VGChartzScore, CriticScore,UserScore, TotalShipped, TotalSales, NASales,PALSales, JapanSales, OtherSales, ReleaseDate, LastUpdate
392,/games/boxart/full_3769410AmericaFrontccc.jpg,https://www.vgchartz.com/game/227431/dead-cells/?region=All,Dead Cells    ,All,Motion Twin  ,Motion Twin  ,N/A  ,N/A  ,N/A  ,10.00m,N/A,N/A,N/A,N/A,N/A,07th Aug 18  ,09th Oct 20
393,/games/boxart/full_1233238AmericaFrontccc.jpg,https://www.vgchartz.com/game/227657/dragon-ball-fighterz/?region=All,Dragon Ball FighterZ    ,All,Bandai Namco Entertainment  ,Arc System Works  ,N/A  ,N/A  ,N/A  ,10.00m,N/A,N/A,N/A,N/A,N/A,26th Jan 18  ,27th Oct 20
394,/games/boxart/full_8506359AmericaFrontccc.jpeg,https://www.vgchartz.com/game/227656/dragon-ball-xenoverse-2/?region=All,Dragon Ball Xenoverse 2    ,All,Bandai Namco Entertainment  ,Dimps Corporation  ,N/A  ,N/A  ,N/A  ,10.00m,N/A,N/A,N/A,N/A,N/A,25th Oct 16  ,27th Oct 20
395,/games/boxart/full_7476236AmericaFrontccc.jpg,https://www.vgchartz.com/game/227672/far-cry-3/?region=All,Far Cry 3    ,All,Ubisoft  ,Ubisoft Montreal  ,N/A  ,N/A  ,N/A  ,10.00m,N/A,N/A,N/A,N/A,N/A,04th Dec 12  ,28th Oct 20
396,/games/boxart/full_4057113AmericaFrontccc.jpg,https://www.vgchartz.com/game/227675/far-cry-4/?region=All,Far Cry 4    ,All,Ubisoft  ,Ubisoft Montreal  ,N/A  ,N/A  ,N/A  ,10.00m,N/A,N/A,N/A,N/A,N/A,18th Nov 14  ,28th Oct 20
397,/games/boxart/full_294871AmericaFrontccc.jpg,https://www.vgchartz.com/game/227676/far-cry-5/?region=All,Far Cry 5    ,All,Ubisoft  ,Ubisoft  ,N/A  ,N/A  ,N/A  ,10.00m,N/A,N/A,N/A,N/A,N/A,27th Mar 18  ,28th Oct 20
398,/games/boxart/full_1773022PALFrontccc.jpg,https://www.vgchartz.com/game/227505/fifa-10/?region=All,FIFA 10    ,All,EA Sports  ,EA Canada  ,N/A  ,N/A  ,N/A  ,10.00m,N/A,N/A,N/A,N/A,N/A,20th Oct 09  ,15th Oct 20
399,/games/boxart/full_6363956AmericaFrontccc.jpg,https://www.vgchartz.com/game/227508/fifa-12/?region=All,FIFA 12    ,All,EA Sports  ,EA Canada  ,N/A  ,N/A  ,N/A  ,10.00m,N/A,N/A,N/A,N/A,N/A,27th Sep 11  ,15th Oct 20
400,/games/boxart/full_8559796AmericaFrontccc.jpg,https://www.vgchartz.com/game/227562/final-fantasy-xv/?region=All,Final Fantasy XV    ,All,Square Enix  ,Square Enix  ,N/A  ,N/A  ,N/A  ,10.00m,N/A,N/A,N/A,N/A,N/A,29th Nov 16  ,19th Oct 20
401,/games/boxart/full_719511AmericaFrontccc.jpg,https://www.vgchartz.com/game/85674/horizon-zero-dawn/?region=All,Horizon: Zero Dawn    ,PS4,Sony Interactive Entertainment  ,Guerrilla Games  ,N/A  ,9.1  ,8.0  ,10.00m,N/A,N/A,N/A,N/A,N/A,28th Feb 17  ,24th Sep 20
402,/games/boxart/full_6909288AmericaFrontccc.png,https://www.vgchartz.com/game/228797/it-takes-two/?region=All,It Takes Two    ,All,Electronic Arts  ,Hazelight  ,N/A  ,N/A  ,N/A  ,10.00m,N/A,N/A,N/A,N/A,N/A,26th Mar 21  ,23rd Apr 21
403,/games/boxart/full_just-dance-2_8AmericaFront.jpg,https://www.vgchartz.com/game/45671/just-dance-2/?region=All,Just Dance 2    Read the review,Wii,Ubisoft  ,Ubisoft Paris  ,7.5  ,7.3  ,N/A  ,10.00m,N/A,N/A,N/A,N/A,N/A,12th Oct 10  ,N/A
404,/games/boxart/full_just-dance-3_883AmericaFront.jpg,https://www.vgchartz.com/game/48264/just-dance-3/?region=All,Just Dance 3    ,Wii,Ubisoft  ,Ubisoft Paris  ,N/A  ,7.5  ,N/A  ,10.00m,N/A,N/A,N/A,N/A,N/A,07th Oct 11  ,N/A
405,/games/boxart/full_2864291AmericaFrontccc.png,https://www.vgchartz.com/game/226076/killing-floor/?region=All,Killing Floor    ,Series,Tripwire Interactive  ,Tripwire Interactive  ,N/A  ,N/A  ,N/A  ,10.00m,N/A,N/A,N/A,N/A,N/A,14th May 09  ,07th Feb 20
406,/games/boxart/full_6527766AmericaFrontccc.png,https://www.vgchartz.com/game/226052/marvel-vs-capcom/?region=All,Marvel vs. Capcom    ,Series,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,10.00m,N/A,N/A,N/A,N/A,N/A,01st Dec 96  ,03rd Feb 20
407,/games/boxart/full_2914566AmericaFrontccc.jpg,https://www.vgchartz.com/game/226444/mx-vs-atv/?region=All,MX vs. ATV    ,Series,THQ Nordic  ,Rainbow Studios  ,N/A  ,N/A  ,N/A  ,10.00m,N/A,N/A,N/A,N/A,N/A,05th Feb 01  ,26th Apr 20
408,/games/boxart/full_4883837AmericaFrontccc.jpg,https://www.vgchartz.com/game/227595/nba-2k18/?region=All,NBA 2K18    ,All,2K Sports  ,Visual Concepts  ,N/A  ,N/A  ,N/A  ,10.00m,N/A,N/A,N/A,N/A,N/A,19th Sep 17  ,22nd Oct 20
409,/games/boxart/full_5850534AmericaFrontccc.jpg,https://www.vgchartz.com/game/229756/nba-2k22/?region=All,NBA 2K22    ,All,2K Sports  ,Visual Concepts  ,N/A  ,N/A  ,N/A  ,10.00m,N/A,N/A,N/A,N/A,N/A,10th Sep 21  ,21st Sep 21
410,/games/boxart/full_7225226AmericaFrontccc.jpg,https://www.vgchartz.com/game/226151/pitfall/?region=All,Pitfall    ,Series,Activision  ,Activision  ,N/A  ,N/A  ,N/A  ,10.00m,N/A,N/A,N/A,N/A,N/A,20th Apr 82  ,16th Feb 20
411,/games/boxart/full_6560922AmericaFrontccc.jpg,https://www.vgchartz.com/game/7415/rollercoaster-tycoon-3/?region=All,RollerCoaster Tycoon 3    ,PC,Atari  ,Frontier Developments  ,N/A  ,8.3  ,N/A  ,10.00m,N/A,N/A,N/A,N/A,N/A,26th Oct 04  ,N/A
412,/games/boxart/full_4320046AmericaFrontccc.jpg,https://www.vgchartz.com/game/228242/sekiro-shadows-die-twice/?region=All,Sekiro: Shadows Die Twice    ,All,Activision  ,From Software  ,N/A  ,N/A  ,N/A  ,10.00m,N/A,N/A,N/A,N/A,N/A,22nd Mar 19  ,12th Feb 21
413,/games/boxart/full_2675039AmericaFrontccc.png,https://www.vgchartz.com/game/232164/spyro-reignited-trilogy/?region=All,Spyro Reignited Trilogy    ,All,Activision  ,Toys for Bob  ,N/A  ,N/A  ,N/A  ,10.00m,N/A,N/A,N/A,N/A,N/A,13th Nov 18  ,01st Sep 23
414,/games/boxart/full_9852982AmericaFrontccc.jpg,https://www.vgchartz.com/game/227983/star-wars-jedi-fallen-order/?region=All,Star Wars Jedi: Fallen Order    ,All,Electronic Arts  ,Respawn Entertainment  ,N/A  ,N/A  ,N/A  ,10.00m,N/A,N/A,N/A,N/A,N/A,15th Nov 19  ,30th Dec 20
415,/games/boxart/full_1826910AmericaFrontccc.jpg,https://www.vgchartz.com/game/227438/tekken-7/?region=All,Tekken 7    ,All,Bandai Namco Entertainment  ,Bandai Namco Studios  ,N/A  ,N/A  ,N/A  ,10.00m,N/A,N/A,N/A,N/A,N/A,18th Mar 15  ,09th Oct 20
416,/games/boxart/full_423137AmericaFrontccc.jpg,https://www.vgchartz.com/game/147592/the-last-of-us-part-ii/?region=All,The Last of Us Part II    Read the review,PS4,Sony Interactive Entertainment  ,Naughty Dog  ,7.0  ,N/A  ,N/A  ,10.00m,N/A,N/A,N/A,N/A,N/A,19th Jun 20  ,25th Jul 20
417,/games/boxart/full_7404545AmericaFrontccc.jpg,https://www.vgchartz.com/game/226097/the-settlers/?region=All,The Settlers    ,Series,Blue Byte  ,Blue Byte  ,N/A  ,N/A  ,N/A  ,10.00m,N/A,N/A,N/A,N/A,N/A,30th Jun 93  ,10th Feb 20
418,/games/boxart/full_8800543AmericaFrontccc.jpg,https://www.vgchartz.com/game/227546/the-sims-3/?region=All,The Sims 3    ,All,Electronic Arts  ,Maxis  ,N/A  ,N/A  ,N/A  ,10.00m,N/A,N/A,N/A,N/A,N/A,02nd Jun 09  ,18th Oct 20
419,/games/boxart/full_5820197AmericaFrontccc.jpg,https://www.vgchartz.com/game/228338/titanfall/?region=All,Titanfall    ,All,Electronic Arts  ,Respawn Entertainment  ,N/A  ,N/A  ,N/A  ,10.00m,N/A,N/A,N/A,N/A,N/A,11th Mar 14  ,21st Feb 21
420,/games/boxart/full_7711107AmericaFrontccc.jpg,https://www.vgchartz.com/game/227719/tom-clancys-ghost-recon-wildlands/?region=All,Tom Clancy's Ghost Recon Wildlands    ,All,Ubisoft  ,Ubisoft Paris  ,N/A  ,N/A  ,N/A  ,10.00m,N/A,N/A,N/A,N/A,N/A,07th Mar 17  ,02nd Nov 20
421,/games/boxart/full_9411160AmericaFrontccc.jpg,https://www.vgchartz.com/game/227715/tom-clancys-rainbow-six-siege/?region=All,Tom Clancy's Rainbow Six Siege    ,All,Ubisoft  ,Ubisoft Montreal  ,N/A  ,N/A  ,N/A  ,10.00m,N/A,N/A,N/A,N/A,N/A,01st Dec 15  ,02nd Nov 20
422,/games/boxart/full_1266723AmericaFrontccc.jpg,https://www.vgchartz.com/game/227877/tom-clancys-the-division/?region=All,Tom Clancy's The Division    ,All,Ubisoft  ,Massive Entertainment  ,N/A  ,N/A  ,N/A  ,10.00m,N/A,N/A,N/A,N/A,N/A,08th Mar 16  ,28th Nov 20
423,/games/boxart/full_9245459AmericaFrontccc.jpg,https://www.vgchartz.com/game/227878/tom-clancys-the-division-2/?region=All,Tom Clancy's The Division 2    ,All,Ubisoft  ,Massive Entertainment  ,N/A  ,N/A  ,N/A  ,10.00m,N/A,N/A,N/A,N/A,N/A,15th Mar 19  ,28th Nov 20
424,/games/boxart/full_5778838AmericaFrontccc.jpg,https://www.vgchartz.com/game/228239/valheim/?region=All,Valheim    ,PC,Coffee Stain Publishing  ,Iron Gate AB  ,N/A  ,N/A  ,N/A  ,10.00m,N/A,N/A,N/A,N/A,N/A,02nd Feb 21  ,11th Feb 21
425,/games/boxart/full_2026957AmericaFrontccc.jpg,https://www.vgchartz.com/game/227879/watch-dogs/?region=All,Watch Dogs    ,All,Ubisoft  ,Ubisoft Montreal  ,N/A  ,N/A  ,N/A  ,10.00m,N/A,N/A,N/A,N/A,N/A,27th May 14  ,28th Nov 20
426,/games/boxart/full_1130188AmericaFrontccc.jpg,https://www.vgchartz.com/game/227880/watch-dogs-2/?region=All,Watch Dogs 2    ,All,Ubisoft  ,Ubisoft Montreal  ,N/A  ,N/A  ,N/A  ,10.00m,N/A,N/A,N/A,N/A,N/A,15th Nov 16  ,28th Nov 20
427,/games/boxart/full_halo-reach_6AmericaFront.jpg,https://www.vgchartz.com/game/35024/halo-reach/?region=All,Halo: Reach    Read the review,X360,Microsoft Game Studios  ,Bungie  ,9.6  ,9.3  ,N/A  ,N/A,9.97m,7.08m,2.01m,0.08m,0.80m,14th Sep 10  ,11th Oct 18
428,/games/boxart/5574270ccc.jpg,https://www.vgchartz.com/game/12414/portal/?region=All,Portal    ,PC,Valve Corporation  ,Valve Software  ,N/A  ,9.0  ,N/A  ,9.97m,N/A,N/A,N/A,N/A,N/A,09th Apr 08  ,N/A
429,/games/boxart/full_2236292AmericaFrontccc.png,https://www.vgchartz.com/game/51758/halo-4/?region=All,Halo 4    Read the review,X360,Microsoft Studios  ,343 Industries  ,9.4  ,N/A  ,N/A  ,N/A,9.96m,6.72m,2.36m,0.04m,0.83m,06th Nov 12  ,N/A
430,/games/boxart/full_8886048AmericaFrontccc.jpg,https://www.vgchartz.com/game/226372/the-binding-of-isaac/?region=All,The Binding of Isaac    ,Series,Edmund McMillen  ,Edmund McMillen  ,N/A  ,N/A  ,N/A  ,9.93m,N/A,N/A,N/A,N/A,N/A,28th Sep 11  ,23rd Mar 20
431,/games/boxart/1190945ccc.jpg,https://www.vgchartz.com/game/756/final-fantasy-vii/?region=All,Final Fantasy VII    ,PS,Sony Computer Entertainment  ,SquareSoft  ,N/A  ,9.6  ,9.5  ,9.90m,N/A,N/A,N/A,N/A,N/A,03rd Sep 97  ,23rd Mar 19
432,/games/boxart/full_5046016AmericaFrontccc.jpg,https://www.vgchartz.com/game/227450/street-fighter-iv/?region=All,Street Fighter IV    ,All,Capcom  ,Capcom / Dimps Corporation  ,N/A  ,N/A  ,N/A  ,9.90m,N/A,N/A,N/A,N/A,N/A,17th Feb 09  ,10th Oct 20
433,/games/boxart/full_2932449AmericaFrontccc.jpg,https://www.vgchartz.com/game/227084/star-fox/?region=All,Star Fox    ,Series,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,9.88m,N/A,N/A,N/A,N/A,N/A,26th Mar 93  ,18th Aug 20
434,/games/boxart/full_8835641AmericaFrontccc.jpg,https://www.vgchartz.com/game/1253/mario-kart-64/?region=All,Mario Kart 64    ,N64,Nintendo  ,Nintendo EAD  ,N/A  ,8.5  ,N/A  ,9.87m,N/A,N/A,N/A,N/A,N/A,10th Feb 97  ,N/A
435,/games/boxart/full_5055631AmericaFrontccc.jpg,https://www.vgchartz.com/game/230556/ghost-of-tsushima/?region=All,Ghost of Tsushima    ,All,Sony Interactive Entertainment  ,Sucker Punch  ,N/A  ,N/A  ,N/A  ,9.73m,N/A,N/A,N/A,N/A,N/A,17th Jul 20  ,16th Jul 22
436,/games/boxart/full_3865453AmericaFrontccc.png,https://www.vgchartz.com/game/226157/dead-or-alive/?region=All,Dead or Alive    ,Series,Tecmo  ,Team Ninja  ,N/A  ,N/A  ,N/A  ,9.70m,N/A,N/A,N/A,N/A,N/A,31st Mar 98  ,17th Feb 20
437,/games/boxart/full_2191001AmericaFrontccc.jpeg,https://www.vgchartz.com/game/226104/nier/?region=All,NieR    ,Series,Square Enix  ,Cavia  ,N/A  ,N/A  ,N/A  ,9.70m,N/A,N/A,N/A,N/A,N/A,23rd Apr 10  ,11th Feb 20
438,/games/boxart/full_4463374AmericaFrontccc.jpg,https://www.vgchartz.com/game/73239/super-smash-bros-for-3ds/?region=All,Super Smash Bros. for 3DS    Read the review,3DS,Nintendo  ,Bandai Namco Games  ,8.6  ,8.4  ,N/A  ,9.64m,N/A,N/A,N/A,N/A,N/A,03rd Oct 14  ,11th Apr 18
439,/games/boxart/full_5074393AmericaFrontccc.jpg,https://www.vgchartz.com/game/227556/final-fantasy-viii/?region=All,Final Fantasy VIII    ,All,Square  ,Square  ,N/A  ,N/A  ,N/A  ,9.60m,N/A,N/A,N/A,N/A,N/A,09th Sep 99  ,19th Oct 20
440,/games/boxart/full_6620852AmericaFrontccc.jpg,https://www.vgchartz.com/game/226143/carnival-games/?region=All,Carnival Games    ,Series,Global Star Software  ,Cat Daddy Games  ,N/A  ,N/A  ,N/A  ,9.50m,N/A,N/A,N/A,N/A,N/A,27th Aug 07  ,15th Feb 20
441,/games/boxart/full_4481633AmericaFrontccc.jpg,https://www.vgchartz.com/game/7316/call-of-duty-4-modern-warfare/?region=All,Call of Duty 4: Modern Warfare    ,X360,Activision  ,Infinity Ward  ,N/A  ,9.6  ,9.0  ,N/A,9.41m,5.98m,2.39m,0.13m,0.91m,05th Nov 07  ,N/A
442,/games/boxart/45196ccc.jpg,https://www.vgchartz.com/game/885/gran-turismo-2/?region=All,Gran Turismo 2    ,PS,Sony Computer Entertainment  ,Polyphony Digital  ,N/A  ,9.2  ,N/A  ,9.37m,N/A,N/A,N/A,N/A,N/A,17th Jan 99  ,N/A
443,/games/boxart/full_6034923AmericaFrontccc.jpg,https://www.vgchartz.com/game/232067/pokemon-stadium/?region=All,Pokémon Stadium    ,Series,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,9.37m,N/A,N/A,N/A,N/A,N/A,06th Mar 00  ,12th Aug 23
444,/games/boxart/full_3963621AmericaFrontccc.png,https://www.vgchartz.com/game/226327/xeno/?region=All,Xeno    ,Series,Square  ,Square  ,N/A  ,N/A  ,N/A  ,9.36m,N/A,N/A,N/A,N/A,N/A,20th Oct 98  ,14th Mar 20
445,/games/boxart/full_wii-party_1AmericaFront.jpg,https://www.vgchartz.com/game/45079/wii-party/?region=All,Wii Party    ,Wii,Nintendo  ,Nd Cube Co., Ltd.  ,N/A  ,7.0  ,N/A  ,9.35m,N/A,N/A,N/A,N/A,N/A,03rd Oct 10  ,N/A
446,/games/boxart/full_6532460AmericaFrontccc.jpg,https://www.vgchartz.com/game/221291/call-of-duty-black-ops-iiii/?region=All,Call of Duty: Black Ops IIII    ,PS4,Activision  ,Treyarch  ,N/A  ,N/A  ,N/A  ,N/A,9.32m,4.05m,3.28m,0.50m,1.49m,12th Oct 18  ,07th Nov 18
447,/games/boxart/full_7340729AmericaFrontccc.jpg,https://www.vgchartz.com/game/6973/mario-party-ds/?region=All,Mario Party DS    ,DS,Nintendo  ,Hudson Soft  ,N/A  ,7.1  ,N/A  ,9.31m,N/A,N/A,N/A,N/A,N/A,19th Nov 07  ,N/A
448,/games/boxart/6431319ccc.jpg,https://www.vgchartz.com/game/3108/donkey-kong-country/?region=All,Donkey Kong Country    ,SNES,Nintendo  ,Rare Ltd.  ,N/A  ,9.0  ,N/A  ,9.30m,N/A,N/A,N/A,N/A,N/A,21st Nov 94  ,N/A
449,/games/boxart/full_8260273AmericaFrontccc.jpg,https://www.vgchartz.com/game/7278/half-life/?region=All,Half-Life    ,PC,Sierra Entertainment  ,Valve Software  ,N/A  ,9.5  ,N/A  ,9.30m,N/A,N/A,N/A,N/A,N/A,19th Nov 98  ,N/A
450,/games/boxart/full_uncharted-3-drakes-deception_174AmericaFront.jpg,https://www.vgchartz.com/game/49054/uncharted-3-drakes-deception/?region=All,Uncharted 3: Drake's Deception    Read the review,PS3,Sony Computer Entertainment  ,Naughty Dog  ,9.0  ,9.3  ,6.3  ,9.30m,N/A,N/A,N/A,N/A,N/A,01st Nov 11  ,N/A
451,/games/boxart/full_9155401AmericaFrontccc.png,https://www.vgchartz.com/game/181292/pokemon-ultra-sun-and-ultra-moon/?region=All,Pokémon: Ultra Sun and Ultra Moon    ,3DS,Nintendo  ,Game Freak  ,N/A  ,8.1  ,N/A  ,9.19m,N/A,N/A,N/A,N/A,N/A,17th Nov 17  ,03rd Aug 18
452,/games/boxart/full_5970958AmericaFrontccc.jpg,https://www.vgchartz.com/game/222165/fifa-19/?region=All,FIFA 19    ,PS4,Electronic Arts  ,EA Sports  ,N/A  ,N/A  ,N/A  ,N/A,9.15m,0.84m,6.87m,0.10m,1.34m,28th Sep 18  ,12th Sep 18
453,/games/boxart/full_4511980AmericaFrontccc.png,https://www.vgchartz.com/game/227276/super-mario-3d-all-stars/?region=All,Super Mario 3D All-Stars    Read the review,NS,Nintendo  ,Nintendo  ,7.0  ,N/A  ,N/A  ,9.07m,N/A,N/A,N/A,N/A,N/A,18th Sep 20  ,04th Sep 20
454,/games/boxart/full_9200722AmericaFrontccc.jpg,https://www.vgchartz.com/game/76807/rust/?region=All,Rust    ,PC,Facepunch Studios  ,Facepunch Studios  ,N/A  ,6.1  ,N/A  ,9.02m,N/A,N/A,N/A,N/A,N/A,08th Feb 18  ,19th Mar 18
455,/games/boxart/full_6389195AmericaFrontccc.jpg,https://www.vgchartz.com/game/227573/assassins-creed-ii/?region=All,Assassin's Creed II    ,All,Ubisoft  ,Ubisoft Montreal  ,N/A  ,N/A  ,N/A  ,9.00m,N/A,N/A,N/A,N/A,N/A,17th Nov 09  ,21st Oct 20
456,/games/boxart/full_1331980AmericaFrontccc.jpg,https://www.vgchartz.com/game/227605/battlefield-bad-company-2/?region=All,Battlefield: Bad Company 2    ,All,Electronic Arts  ,EA DICE  ,N/A  ,N/A  ,N/A  ,9.00m,N/A,N/A,N/A,N/A,N/A,02nd Mar 10  ,23rd Oct 20
457,/games/boxart/full_5415578AmericaFrontccc.png,https://www.vgchartz.com/game/230994/harry-potter-and-the-chamber-of-secrets/?region=All,Harry Potter and the Chamber of Secrets    ,All,Electronic Arts  ,EA UK  ,N/A  ,N/A  ,N/A  ,9.00m,N/A,N/A,N/A,N/A,N/A,15th Nov 02  ,29th Sep 22
458,/games/boxart/full_1289577AmericaFrontccc.jpg,https://www.vgchartz.com/game/226149/payday/?region=All,Payday    ,Series,Daybreak Games  ,Overkill Software  ,N/A  ,N/A  ,N/A  ,9.00m,N/A,N/A,N/A,N/A,N/A,18th Oct 11  ,16th Feb 20
459,/games/boxart/full_9178083AmericaFrontccc.jpg,https://www.vgchartz.com/game/227083/pikmin/?region=All,Pikmin    ,Series,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,9.00m,N/A,N/A,N/A,N/A,N/A,02nd Dec 01  ,18th Aug 20
460,/games/boxart/full_5245114AmericaFrontccc.jpg,https://www.vgchartz.com/game/226230/silent-hill/?region=All,Silent Hill    ,Series,Konami  ,Konami Computer Entertainment Tokyo  ,N/A  ,N/A  ,N/A  ,9.00m,N/A,N/A,N/A,N/A,N/A,23rd Feb 99  ,26th Feb 20
461,/games/boxart/full_9915697AmericaFrontccc.jpeg,https://www.vgchartz.com/game/227699/star-wars-battlefront-ii-2017/?region=All,Star Wars Battlefront II (2017)    ,All,Electronic Arts  ,EA DICE  ,N/A  ,N/A  ,N/A  ,9.00m,N/A,N/A,N/A,N/A,N/A,17th Nov 17  ,31st Oct 20
462,/games/boxart/full_9072975AmericaFrontccc.jpg,https://www.vgchartz.com/game/226096/the-experience/?region=All,The Experience    ,Series,Ubisoft  ,Ubisoft  ,N/A  ,N/A  ,N/A  ,9.00m,N/A,N/A,N/A,N/A,N/A,06th Nov 10  ,10th Feb 20
463,/games/boxart/full_9724978AmericaFrontccc.jpg,https://www.vgchartz.com/game/228101/ninja-gaiden/?region=All,Ninja Gaiden    ,Series,Tecmo  ,Tecmo  ,N/A  ,N/A  ,N/A  ,8.96m,N/A,N/A,N/A,N/A,N/A,01st Oct 88  ,23rd Jan 21
464,/games/boxart/full_1287603AmericaFrontccc.jpg,https://www.vgchartz.com/game/231477/the-legend-of-zelda-twilight-princess/?region=All,The Legend of Zelda: Twilight Princess    ,All,Nintendo  ,Nintendo EAD  ,N/A  ,N/A  ,N/A  ,8.93m,N/A,N/A,N/A,N/A,N/A,11th Dec 06  ,09th Feb 23
465,/games/boxart/full_6460081AmericaFrontccc.png,https://www.vgchartz.com/game/226077/megami-tensei/?region=All,Megami Tensei    ,Series,Atlus  ,Atlus  ,N/A  ,N/A  ,N/A  ,8.90m,N/A,N/A,N/A,N/A,N/A,12th Oct 04  ,07th Feb 20
466,/games/boxart/full_5209633AmericaFrontccc.jpg,https://www.vgchartz.com/game/227484/monster-hunter-generations/?region=All,Monster Hunter Generations    ,All,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,8.90m,N/A,N/A,N/A,N/A,N/A,15th Jul 16  ,13th Oct 20
467,/games/boxart/full_153566AmericaFrontccc.jpg,https://www.vgchartz.com/game/227568/need-for-speed-undercover/?region=All,Need for Speed: Undercover    ,All,Electronic Arts  ,EA Black Box  ,N/A  ,N/A  ,N/A  ,8.90m,N/A,N/A,N/A,N/A,N/A,18th Nov 08  ,20th Oct 20
468,/games/boxart/full_the-elder-scrolls-v-skyrim_554AmericaFront.jpg,https://www.vgchartz.com/game/49112/the-elder-scrolls-v-skyrim/?region=All,The Elder Scrolls V: Skyrim    ,X360,Bethesda Softworks  ,Bethesda Game Studios  ,N/A  ,9.3  ,N/A  ,N/A,8.88m,5.10m,2.83m,0.10m,0.85m,11th Nov 11  ,01st Apr 18
469,/games/boxart/full_7451822AmericaFrontccc.jpg,https://www.vgchartz.com/game/6091/mario-party-8/?region=All,Mario Party 8    ,Wii,Nintendo  ,Hudson Soft  ,N/A  ,6.5  ,N/A  ,8.85m,N/A,N/A,N/A,N/A,N/A,29th May 07  ,N/A
470,/games/boxart/full_3980311AmericaFrontccc.jpg,https://www.vgchartz.com/game/4435/super-mario-kart/?region=All,Super Mario Kart    ,SNES,Nintendo  ,Nintendo EAD  ,N/A  ,10.0  ,N/A  ,8.76m,N/A,N/A,N/A,N/A,N/A,01st Sep 92  ,N/A
471,/games/boxart/full_8047513AmericaFrontccc.jpg,https://www.vgchartz.com/game/73074/grand-theft-auto-v/?region=All,Grand Theft Auto V    ,XOne,Rockstar Games  ,Rockstar North  ,N/A  ,9.0  ,9.0  ,N/A,8.72m,4.70m,3.25m,0.01m,0.76m,18th Nov 14  ,11th Apr 18
472,/games/boxart/full_8492617AmericaFrontccc.png,https://www.vgchartz.com/game/228822/resident-evil-8-village/?region=All,Resident Evil 8: Village    ,All,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,8.70m,N/A,N/A,N/A,N/A,N/A,07th May 21  ,11th May 21
473,/games/boxart/1184295ccc.jpg,https://www.vgchartz.com/game/758/final-fantasy-viii/?region=All,Final Fantasy VIII    ,PS,Square EA  ,SquareSoft  ,N/A  ,9.4  ,N/A  ,8.60m,N/A,N/A,N/A,N/A,N/A,07th Sep 99  ,N/A
474,/games/boxart/4912276ccc.jpg,https://www.vgchartz.com/game/759/final-fantasy-x/?region=All,Final Fantasy X    ,PS2,Square  ,SquareSoft  ,N/A  ,9.0  ,10.0  ,8.60m,N/A,N/A,N/A,N/A,N/A,17th Dec 01  ,N/A
475,/games/boxart/full_1332763AmericaFrontccc.jpg,https://www.vgchartz.com/game/226056/onimusha/?region=All,Onimusha    ,Series,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,8.60m,N/A,N/A,N/A,N/A,N/A,13th Mar 01  ,04th Feb 20
476,/games/boxart/full_1834338AmericaFrontccc.jpg,https://www.vgchartz.com/game/228174/monument-valley/?region=All,Monument Valley    ,Series,Ustwo Games  ,Ustwo Games  ,N/A  ,N/A  ,N/A  ,8.59m,N/A,N/A,N/A,N/A,N/A,03rd Apr 14  ,30th Jan 21
477,/games/boxart/full_3674437AmericaFrontccc.png,https://www.vgchartz.com/game/70468/pokemon-black-2-and-white-2/?region=All,Pokémon Black 2 and White 2    Read the review,DS,Nintendo  ,Game Freak  ,8.9  ,8.0  ,8.3  ,8.52m,N/A,N/A,N/A,N/A,N/A,07th Oct 12  ,25th Feb 18
478,/games/boxart/full_5122178AmericaFrontccc.jpg,https://www.vgchartz.com/game/230162/metro-exodus/?region=All,Metro Exodus    ,All,Deep Silver  ,4a-games  ,N/A  ,N/A  ,N/A  ,8.50m,N/A,N/A,N/A,N/A,N/A,15th Feb 19  ,17th Feb 22
479,/games/boxart/full_5281313AmericaFrontccc.jpg,https://www.vgchartz.com/game/227594/nba-2k17/?region=All,NBA 2K17    ,All,2K Sports  ,Visual Concepts  ,N/A  ,N/A  ,N/A  ,8.50m,N/A,N/A,N/A,N/A,N/A,20th Sep 16  ,22nd Oct 20
480,/games/boxart/full_5706058AmericaFrontccc.jpg,https://www.vgchartz.com/game/108777/call-of-duty-infinite-warfare/?region=All,Call of Duty: Infinite Warfare    ,PS4,Activision  ,Infinity Ward  ,N/A  ,N/A  ,N/A  ,N/A,8.48m,3.11m,3.83m,0.19m,1.36m,04th Nov 16  ,14th Jan 18
481,/games/boxart/full_2507140AmericaFrontccc.jpg,https://www.vgchartz.com/game/85599/fallout-4/?region=All,Fallout 4    ,PS4,Bethesda Softworks  ,Bethesda Game Studios  ,N/A  ,8.6  ,N/A  ,N/A,8.48m,2.91m,3.97m,0.27m,1.34m,10th Nov 15  ,24th Mar 18
